prediction,x,y
0.20604450146651557,88,50
0.03795146822461283,81,34
0.3633926877946299,97,57
0.03647208551311417,77,41
0.035104606060468266,83,69
0.01687496695852639,77,30
0.46702067122252394,98,45
0.007104245493417264,82,82
0.1816378588277154,88,56
0.015104946070345397,72,37
0.3489827845548342,92,52
0.057563050189488575,80,58
0.2680091709066128,90,52
0.004435590800249324,66,70
0.07052549795376611,85,64
0.13397314758737486,86,57
0.042605110340900615,77,47
0.02729091489540279,74,54
0.127227838659708,89,38
0.03010963698825598,79,34
0.06595275617388828,81,42
0.01717964647430231,80,27
0.12111348573464051,91,64
0.06605906699920921,80,52
0.01229152387406316,75,29
0.020681491275255415,78,69
0.037009910324356576,76,50
0.057268066019803256,79,50
0.04217785111567166,77,46
0.03522692975523529,79,64
0.01514294949084694,74,33
0.015064734570730478,76,70
0.0178135227017222,71,51
0.031983012301284974,75,50
0.05936251946716786,81,40
0.13600812036370122,96,65
0.29988178665797305,91,53
0.08094413320768536,84,61
0.08157422336389387,83,59
0.10359838172567801,89,36
0.15375512476837797,90,39
0.06616067988615801,80,49
0.03333599146071777,78,63
0.048733088030454466,78,46
0.04822748889270538,88,30
0.026900993387042146,74,45
0.10793144176217633,91,65
0.004529593675249398,74,20
0.0211931087162365,75,64
0.02251323255368995,76,35
0.06370545648410186,80,45
0.013429603325107483,88,80
0.19719646574723892,88,54
0.127227838659708,89,62
0.020620999519058894,72,49
0.5243933039355637,97,54
0.08350984120827609,93,68
0.24084621884298418,91,57
0.03864333677299651,84,69
0.20447606692887077,88,52
0.03647208551311417,77,41
0.11404437801201206,87,39
0.023670696154402118,77,34
0.009466086687291384,93,16
0.043249114182693074,93,27
0.033016158980643875,90,74
0.055162103654037425,90,70
0.03510802902198861,82,32
0.029640137438282563,75,57
0.01916982753973624,73,61
0.061095611212136046,88,68
0.13547328729668945,91,37
0.00562734386511555,64,40
0.13397314758737486,86,57
0.10096169346964845,83,53
0.00798720131932192,69,67
0.04907298810714056,80,61
0.028890623746695612,78,35
0.008657280041729703,72,29
0.16706267188896318,87,55
0.018905215952206705,81,27
0.03785329367971003,79,37
0.009151385823730426,74,27
0.16706267188896318,87,55
0.19123387951429516,95,38
0.0326362588525896,79,35
0.08996965885814551,95,68
0.007215689788058446,66,61
0.03119155269463011,77,38
0.07822657733835112,86,64
0.06300283320947893,87,67
0.0981236489481772,85,40
0.03795146822461283,81,66
0.028670681099063323,82,30
0.49124324977552647,96,54
0.031089372706209532,75,55
0.41242182176631037,95,55
0.2852892505877718,94,42
0.15329743793910103,89,40
0.3848451074503569,93,53
0.08284978894996772,99,31
0.009164889043702284,68,38
0.0178135227017222,71,51
0.08501732397138337,91,33
0.035104606060468266,83,31
0.028694758602186288,75,42
0.11043082396079548,86,60
0.021030287677191083,79,30
0.03678781452702028,80,65
0.016437905036590036,76,69
0.03981678018735586,80,64
0.07408700150965251,89,33
0.05525173335962032,79,45
0.2504617239296657,96,40
0.025729688393914533,76,37
0.011277994344203904,79,24
0.03647208551311417,77,41
0.15073734760656837,86,46
0.012361286347493356,80,24
0.11152456181207428,84,45
0.0005081330064033073,75,99
0.12742561039340006,94,65
0.0940630239578673,83,56
0.09591240695367824,91,66
0.06851307981552797,88,33
0.020681491275255415,78,69
0.10191817497332098,83,50
0.025729688393914533,76,63
0.1018364774331819,83,49
0.06443705757591744,93,70
0.4627854145380215,97,45
0.6045046531068955,96,51
0.003172099316059185,61,36
0.07004356088974423,92,31
0.18516577180100185,91,40
0.05248035482371536,85,33
0.00795719102732242,72,72
0.27115920356351214,90,50
0.02636621310608187,74,56
0.008177098045740513,73,73
0.0049869594381036966,75,80
0.0429680964259059,83,33
0.03119155269463011,77,38
0.06851307981552797,88,33
0.7272814671821497,98,48
0.0312183767876402,89,26
0.01907390814077346,79,29
0.0318484088492192,75,47
0.1802451693892423,89,58
0.025356645741013074,90,24
0.15375512476837797,90,39
0.11653467098198642,95,34
0.09294065422257806,89,65
0.02405985315387068,89,24
0.02552543668799497,77,35
0.06404520300821455,86,34
0.11503339087229555,92,35
0.022640291186607726,86,25
0.021030287677191083,79,30
0.03103441742902309,84,29
0.1782063440068813,87,52
0.3094647654125513,91,49
0.019493526917856604,84,25
0.07545145172938834,82,42
0.03303469769183474,76,58
0.19123387951429516,95,62
0.4045138607778938,93,49
0.16266182195658574,94,37
0.0766142133815442,88,66
0.15371402818724483,86,47
0.06616067988615801,80,51
0.011775064137396906,71,65
0.14413339647517848,94,64
0.03591899770334477,76,45
0.16948873164680042,95,37
0.0766142133815442,88,34
0.038665982489521356,82,33
0.02552543668799497,77,35
0.11404437801201206,87,61
0.04822748889270538,88,30
0.5284393844303346,95,49
0.012405623409415008,73,32
0.023119286447807908,79,31
0.0478882929184111,78,55
0.015104946070345397,72,63
0.5284393844303346,95,49
0.0187837596178922,87,23
0.023271201753693304,73,55
0.03556153573504011,78,62
0.10194155670832132,92,66
0.024119981491196745,76,64
0.09486515256061717,88,36
0.07341146001632456,93,31
0.1429883695755145,87,42
0.01091638583020027,70,36
0.07822657733835112,86,64
0.07671416193695656,83,60
0.16680191703631334,89,41
0.011377749084590725,68,54
0.10213933487873117,86,61
0.01725235800860253,79,72
0.08350984120827609,93,68
0.1381238091417768,88,40
0.03971291513743648,87,29
0.591034443196759,97,47
0.11561595838834413,88,62
0.1429883695755145,87,58
0.4080865422634411,94,54
0.011071446128819565,68,56
0.007293635144269102,72,73
0.23115210601553457,90,56
0.06575400439722622,80,53
0.09225395475152803,96,68
